language,count
"albán",135
"altaji",1
"angol",6387
"arab",112
"asszami",8
"azerbajdzsán",96
"baskir",56
"belorusz",1
"bengáli",9
"bolgár",1269
"burmai",5
"cseh",2138
"csuvas",15
"dán",223
"eszperantó",1075
"észt",555
"fehérorosz",134
"finn",1074
"flamand",27
"francia",6620
"görög",7
"gründler",13
"grúz",117
"héber",364
"hindi",14
"holland",626
"horvát",1285
"ido",50
"izlandi",2
"japán",375
"jiddis",1
"katalán",1
"kazah",422
"kínai",358
"kirgiz",166
"komi",36
"koreai",97
"latin",30
"lengyel",2260
"lett",291
"litván",105
"liv",2
"macedon",31
"makedon",3
"makedón",201
"maláj",1
"manibuli",5
"moldva",108
"mongol",57
"német",19986
"norvég",168
"ógörög",1
"olasz",5206
"örmény",358
"örmény−erdélyi",1
"orosz",8765
"pandzsábi",18
"perzsa",51
"portugál",107
"rhetoromán",3
"román",4517
"romanid",1
"rutén",2
"spanyol",956
"svéd",543
"szász",13
"szerb",657
"szerb-horvát",1
"szlovák",3080
"szlovén",134
"tadzsik",65
"tagalog",6
"tamil",3
"tatár",11
"török",162
"türk",10
"türkmén",90
"udmurt",17
"újgörög",32
"ujgur",10
"ukrán",882
"üzbég",43
"vend",19
"vietnami",144
"volapük",81
"−",13 